"Time","Glucose","CO2","Fungi","Bacteria","Cflush","pH"
0,NA,0,0,0,0,0
0.17,-0.109631099687629,NA,NA,NA,NA,NA
1,0.166930276556636,0.240934452477395,0.0947477898455032,0.253909152525133,-0.881931352138951,-0.767484896193352
2,-0.157874887392506,0.369743750369052,0.196003167140456,0.422473057955462,NA,0.872791004412369
3,0.242269841766069,0.241896465735844,-0.413053873138649,-0.189992509203408,0.905307281380814,-0.11621960364495
4,NA,NA,NA,NA,NA,NA
7,-0.0281438588953026,0.141599335931069,-0.025689446035319,-0.132467792950626,1.37555361383994,-0.0820847088891733
9,0.0105880465172297,0.192758506315527,0.0784883847433069,0.125122098397459,1.2431264303442,0.700839710407079
14,0.000142127134968766,0.116969331253152,-1.20149487494657,-1.0868345717879,-0.775725320352394,0.134139956799722
16,3.14266963606677e-05,0.082643798163027,-0.525778573708352,-0.363066328970404,0.0467765855981061,1.20187207727729
21,1.15746334154762e-06,-0.00170268555405074,0.234610176289344,0.223604586309334,NA,-0.289931947163605
23,3.65608059210847e-07,-0.0357854612011257,-0.0262407566966025,-0.0881727395943969,0.534293891426954,0.128010538652203
30,1.22318986663012e-08,-0.120074811685431,-0.545132348182616,-0.402490299919057,NA,-0.404792690145342
35,1.82123257070979e-09,-0.155637093403006,0.724820069482797,0.44430319328186,-0.42860317746904,-0.811420001991807
38,6.86421347931624e-10,-0.175935532492647,0.637385366936371,0.300181683029286,NA,-2.09758751467306
50,3.74693756914656e-11,-0.272673518110942,0.390748957403019,0.234534687205684,NA,-0.29937476046516
58,9.35178281273806e-12,-0.340117247764013,0.280910324891409,0.0338378408452065,-0.575288511760737,0.444628653520635
