"","","ImF","KmAF","edemandF","ImB","KmAB","edemandB","KmG","Gm","psi","eta","k","nb","ng","a"
"result.1",1,0.831235882292963,476.460327399449,0.847116823073571,0.104646840469011,39.2272909323295,0.804237809133327,2.92317791363304,2.17450748466663,0.216759556762366,0.463589467188685,0.0121511902906905,0.0497811554770577,0.082395698908919,0.00101961309741017
"result.2",2,0.874304580731631,353.21478350699,0.800479967169996,0.101484716105093,67.5872958457508,0.804237809133327,2.92317791363304,2.38733263027025,0.146058897849991,1.74941450145792,0.0116084038624324,0.0441137751091691,0.0855970445177916,0.00101961309741017
"result.3",3,0.733764406165949,436.327112974418,0.800479967169996,0.100493125452508,21.9838721501064,1.00145345730854,47.0834510999493,1.56364530435686,0.425040002120672,0.428490227189489,0.0185186441783538,0.0433011713929897,0.0855720788540214,0.00101961309741017
"result.4",4,0.802898465116765,499.961888927373,0.865965447724448,0.135699953072435,35.9439265955128,1.30782646000247,2.92317791363304,3.80452442496087,0.20453167018678,2.12351539978596,0.00693156489290298,0.0692170656815777,0.0763250167803256,0.00532028641441482
"result.5",5,0.711755847815926,39.8808038456387,0.800133741986142,0.100493125452508,25.1536206621111,0.804237809133327,59.1175472732827,1.46004631813729,0.350383794197037,1.05033497827745,0.0228277014612008,0.0433011713929897,0.0895905212076022,0.00101961309741017
"result.6",6,11.7989258176849,436.327112974418,1.47890874285828,0.56907591303778,40.0396992634927,2.3745205698093,499.999441454372,9.99171466793529,0.212914039090121,0.356228213303516,0.02613088657847,0.277643079768553,0.146802664110713,0.0421301539141271
"result.7",7,1.51362072071866,499.961888927373,0.800479967169996,0.212272146852467,92.5015009236384,0.804237809133327,345.658028196041,4.49196813398902,0.216097842115703,0.476710143606124,0.00693156489290298,0.0455504202110579,0.0861634389269526,0.00101961309741017
"result.8",8,2.39608715227062,436.327112974418,0.800479967169996,0.385594208246587,106.498901278505,0.804237809133327,351.263708392909,9.95559868669744,0.178285219456869,0.714130709506942,0.0266454575783738,0.0761554202323672,0.0781022496170463,0.00101961309741017
"result.9",9,13.3383349911063,436.327112974418,1.41359636733023,0.572940979107584,52.2027013853007,7.55943091484761,31.2616774582188,9.99989067716137,0.064944758004114,0.315628994701726,0.0181155350357833,0.999939595426364,0.215491751538332,0.0527083477327963
"result.10",10,1.51551320475615,436.327112974418,0.800479967169996,0.262970590560675,31.1348753540031,1.3813370531839,278.889853267885,4.91890624493272,0.43322560484475,0.491704338873348,0.0226716511327223,0.0671283149398433,0.0803184238416438,0.0118534609382548
"result.11",11,0.708525737498302,88.6531587329155,0.800479967169996,0.104646840469011,35.4026728400966,0.804237809133327,67.3859362283015,1.75910507495137,0.282544349205388,0.463589467188685,0.0121511902906905,0.0436213457133882,0.0890271481575874,0.00101961309741017
"result.12",12,6.26538030315742,436.327112974418,1.26922941237802,0.349172661855372,19.5248497204104,3.58728015146401,1.01538495919406,9.37989116768841,0.271757199288465,0.44564805299863,0.0218047673185661,0.250521982292716,0.102822409511437,0.026065924117015
"result.13",13,1.73521862514021,436.327112974418,0.800479967169996,0.296110021603228,30.9588291284347,1.62167773183546,224.282138716151,6.28777298908971,0.506146197261543,3.7565418051726,0.0246199446693234,0.0732295269430817,0.0744878587488776,0.0121591157941688
"result.14",14,0.793760424520005,436.327112974418,0.800479967169996,0.100493125452508,40.150338502788,0.804237809133327,72.8820178370654,1.74575636967534,0.239452799032923,1.34002202108274,0.0167418637848905,0.0433011713929897,0.0915651737639369,0.00101961309741017
"result.15",15,8.49867465669404,499.471336384812,0.800479967169996,0.494755353054919,62.4146796055636,5.37734316441955,182.584496811921,9.84990976995914,0.0988952734693788,0.11257863022304,0.00712443321471815,0.47665843690012,0.176256378142614,0.0647791489510969
"result.16",16,1.77476498071242,293.067423138887,0.937249429824434,0.171240883907991,13.739775910917,2.63459853078717,1.13558090110199,3.82492234897516,0.308418614491393,0.284109016241993,0.0116655818614424,0.136156615347546,0.0986777264690808,0.0375026625373602
"result.17",17,10.9546522560887,436.327112974418,0.93439727069602,0.474186086258219,26.7620374693495,5.15134681027725,2.92317791363304,9.99803401008263,0.136111040821725,0.25292507279613,0.0266724659999986,0.64512504415631,0.170733440460987,0.039633618216528
"result.18",18,0.708525737498302,91.6806385485539,0.800479967169996,0.104646840469011,35.4026728400966,0.804237809133327,82.6190505682845,1.75183116902535,0.286253730294624,0.463589467188685,0.0121511902906905,0.0432909472635657,0.0890235838471913,0.00101961309741017
"result.19",19,2.12151224700509,436.327112974418,0.800479967169996,0.349610821398446,48.2451552461443,1.24491887174045,355.088647454412,7.29215203132043,0.36999001079519,1.40761638781373,0.0266454575783738,0.0689455525601974,0.0778326141416676,0.00528788601104284
"result.20",20,0.708525737498302,86.8403211401616,0.800479967169996,0.104646840469011,37.5808077382071,0.804237809133327,72.7423054450088,1.75910507495137,0.262249053093462,0.463589467188685,0.0121511902906905,0.0441093714059093,0.0890235838471913,0.00101961309741017
"result.21",21,5.32258764858343,436.327112974418,0.800479967169996,0.384561481439218,28.3309596680835,3.15354679288014,78.4955755553387,9.99171466793529,0.224361968064014,0.219444888827507,0.0202098427219454,0.230777929900734,0.102076166069908,0.034203019300181
"result.22",22,0.708525737498302,79.240663635798,0.800479967169996,0.104646840469011,37.5808077382071,0.804237809133327,82.3911155779546,1.75910507495137,0.289034731868142,0.463589467188685,0.0121511902906905,0.0432909472635657,0.0890235838471913,0.00101961309741017
