S0,U,Legend
7.51372102355683,0.0170605612998523,Rotation
7.25554443694982,0.0223781388478582,Rotation
7.38257016248153,0.0276957163958641,Rotation
14.3648599311823,0.0361152141802068,Rotation
30.0986958786212,0.0591580502215657,Rotation
30.0052402216511,0.0429837518463811,Rotation
59.6326749259313,0.103914327917282,Rotation
59.5932727691874,0.0804283604135894,Rotation
59.7874386318423,0.0640324963072378,Rotation
90.5457294592771,0.0706794682422452,Rotation
90.2017785025743,0.061152141802068,Rotation
120.982514571191,0.0755,Rotation
3.72132717314356,0.0288162748239502,Monoculture
3.67593567196989,0.0220844666343754,Monoculture
7.5470160028317,0.0269561086478632,Monoculture
7.34346551038911,0.0429223021225331,Monoculture
7.40734984537427,0.0523966988337867,Monoculture
15.1545540072283,0.0628879615484929,Monoculture
15.6070464932871,0.0376873827887279,Monoculture
29.8770481699517,0.0616990821814027,Monoculture
15.2285253424743,0.0738583156352075,Monoculture
30.2564745643777,0.102585478842977,Monoculture
45.0137559459493,0.0911711191425414,Monoculture
60.0457141038538,0.0897235987431226,Monoculture
44.9551737521269,0.190175366692748,Monoculture
90.6066091632823,0.191302457866041,Monoculture
90.0484618155172,0.108526149757194,Monoculture
90.269470577642,0.0643798825092838,Monoculture
181.43213988343,0.108487648571109,Monoculture
241.965029142381,0.08854869158066,Monoculture
