"","x"
"1",12.0117617918948
"2",436.327112974418
"3",0.800028891568272
"4",0.503239039835276
"5",46.0000611632548
"6",4.27071133623432
"7",114.571498029397
"8",9.99755421333071
"9",0.11749005352473
"10",0.166583845235952
"11",0.0249064103896218
"12",0.571684238317659
"13",0.186380939640652
"14",0.0432658996555604
